station,zone,postcode,lat,long,easting,northing,value
Abbey Road,3,E15 3NB,51.531952,0.003738,539081,183352,7
Abbey Wood,4,SE2 9RH,51.490784,0.120286,547297,179002,7
Acton,3,W3 0BP,51.516887,-0.267676,520296,181196,148
Acton Central,2,W3 6BD,51.508758,-0.263416,520613,180299,7
Acton Town,3,W3 8HN,51.503071,-0.280288,519457,179639,3
Addington Village,"3,4,5,6",CR0 5AR,51.356239,-0.032651,537082,163744,55
Addiscombe,"3,4,5,6",CR0 7AA,51.379808,-0.073199,534190,166290,20
Albany Park,5,DA5 3HP,51.435816,0.126459,547903,172902,55
Aldgate,1,EC3N 1AH,51.514342,-0.075613,533629,181246,148
Aldgate East,1,E1 7PT,51.515082,-0.072987,533809,181333,7
Alexandra Palace,3,N22 7ST,51.598263,-0.120135,530300,190498,55
All Saints,2,E14 0EH,51.510477,-0.01261,538012,180933,20
Alperton,4,HA0 4LL,51.541209,-0.299501,518025,183849,20
Amersham,9,HP6 5AZ,51.674129,-0.606499,496454,198181,20
Ampere Way,"3,4,5,6",CR0 3JX,51.382299,-0.123622,530674,166476,3
Anerley,4,SE20 8AG,51.412517,-0.065123,534656,169942,3
Angel,1,N1 8XB,51.532968,-0.105567,531497,183263,55
Angel Road,4,N18 3AY,51.61242,-0.048718,535204,192202,55
Archway,"2,3",N19 5RQ,51.565491,-0.135107,529356,186827,3
Arena,"3,4,5,6",SE25 4RY,51.391523,-0.058304,535192,167620,7
Arnos Grove,4,N11 1AN,51.61623,-0.134256,529271,192471,3
Arsenal,2,N5 1LP,51.558541,-0.105486,531429,186107,20
Avenue Road,"3,4,5,6",BR3 4NJ,51.406798,-0.049433,535764,169335,148
Baker Street,1,NW1 5LA,51.52313,-0.15689,527965,182078,55
Balham,3,SW12 9SG,51.443183,-0.152671,528482,173195,20
Bank,1,EC3V 3LA,51.513347,-0.088986,532704,181111,20
Banstead,6,SM7 1RB,51.329293,-0.213118,524590,160426,55
Barbican,1,EC1A 4JA,51.520215,-0.097707,532079,181859,7
Barking,4,IG11 8TU,51.539521,0.080846,544405,184343,7
Barkingside,4,IG6 1NB,51.585851,0.088491,544788,189510,7
Barnehurst,6,DA7 6HQ,51.46478,0.160962,550206,176193,7
Barnes,3,SW13 0LW,51.467128,-0.242019,522209,175705,3
Barnes Bridge,3,SW13 0NR,51.472228,-0.252348,521478,176255,148
Barons Court,2,W14 9DP,51.490229,-0.213416,524133,178322,148
Battersea Park,2,SW8 4NB,51.477318,-0.148109,528703,176999,7
Bayswater,1,W2 4QH,51.512111,-0.187887,525845,180799,7
Beckenham Hill,4,SE6 3NU,51.424626,-0.016481,538002,171379,55
Beckenham Junction,4,BR3 1HY,51.410942,-0.025687,537403,169840,55
Beckenham Road,"3,4,5,6",BR3 4RR,51.40953,-0.043378,536177,169650,3
Beckton,3,E6 5NT,51.514377,0.06154,543145,181509,148
Beckton Park,3,E6 5NE,51.508901,0.054836,542697,180887,55
Becontree,5,RM9 4TP,51.539585,0.126895,547598,184442,55
Beddington Lane,"3,4,5,6",CR0 4TF,51.38924,-0.142124,529367,167215,7
Belgrave Walk,"3,4,5,6",CR4 4NY,51.400962,-0.178482,526805,168455,3
